,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse
0,p,15,second,1,1,0.0015178779410548327,564,5.784549951553345,0.0003685338176928912,0.9997869104966863,0.9979443551093717,0.00040666116658076264
1,p,15,second,1,2,7.763234509484904,564,5.251482009887695,0.5408617148625294,0.6610222202545112,0.780931710635943,0.09866707143856725
2,p,15,second,1,3,0.00032604885278690447,564,7.253345966339111,0.00021971618936952007,0.9999187383589813,0.999555127902459,0.0002719109828125725
3,p,15,second,1,1,758.2565653022405,617,5.715248107910156,4.212560256277096,0.2518293533239222,-0.24225699163780837,0.4360658032457634
4,p,15,second,1,2,18.523785848467448,617,2.0544168949127197,0.2835174821051441,0.956594840070897,0.9751766657106188,0.020841660707403883
5,p,15,second,1,3,6.243986228021488e-05,617,3.8238577842712402,8.147998221625684e-05,0.9999744861059221,0.9994510882246108,8.104921325887372e-05
6,p,15,second,1,1,25.152240400249212,236,2.7413010597229004,0.2200654860968706,0.8582823014622964,-0.6113235320333268,0.2632665188524634
7,p,15,second,1,2,2.591628743676654,236,2.3031551837921143,0.3670681097830389,0.8290753383976395,0.2657123158177038,0.1805775031183613
8,p,15,second,1,3,0.006911990584816252,236,3.123087167739868,0.0018982295910936954,0.9994822453108444,0.9957467538778478,0.003741953046593149
9,p,15,second,1,1,7.929134078931471,70,0.9801368713378906,0.0033256753478224993,0.9868246677685233,0.9595515975362078,0.028117531318590943
10,p,15,second,1,2,1.0809533508440741e-05,70,1.1759910583496094,3.1797523146812293e-06,0.999990988203216,0.998433816683062,0.00036198633934740024
11,p,15,second,1,3,0.000147266248435864,70,1.3555288314819336,2.154095144261758e-07,0.9999996801391926,0.9942684211178993,0.0009721561994680724
12,p,15,second,1,1,22.710148478810762,78,1.6126220226287842,0.014847809275172685,0.9718216816435007,0.9149714318698806,0.05881795455164708
13,p,15,second,1,2,0.008017778240062588,78,2.5466628074645996,0.00016818888171935486,0.9975026258490884,0.9860826185929843,0.003750460268972428
14,p,15,second,1,3,0.010276018717054709,78,1.46856689453125,0.00021300535876217177,0.9987385735562565,0.9879727001783885,0.0022294553799094693
15,p,15,second,1,1,0.01812149131794354,127,1.2832188606262207,0.00077264742738425,0.999330969468981,0.9926095996081892,0.0017501015294727942
16,p,15,second,1,2,0.0012886879296392627,127,1.5505332946777344,9.572402267057033e-05,0.9999644973723163,0.9913896905054084,0.0010811860720079264
17,p,15,second,1,3,0.010488177655914484,127,1.326956033706665,0.0015119533436741312,0.9977113181354672,0.9710671162984914,0.0036924462457311887
18,p,15,second,1,1,7.338944529891593,145,0.9768908023834229,0.03874635146922015,0.9867202262092792,-0.3695416540293582,0.32822184886901734
19,p,15,second,1,2,3.9009956501882424e-05,145,1.4692409038543701,3.6281648309704166e-05,0.9999768826337136,0.9948981180549851,0.0010541549150144209
20,p,15,second,1,3,0.8093391032303284,145,1.54811692237854,0.006885070770523573,0.9977529227413054,0.5589269453306869,0.17196715894900194
21,p,15,second,1,1,0.0816057645909449,133,1.3424410820007324,0.014221407786197855,0.9969627630399159,0.8126468840000344,0.02107901938221003
22,p,15,second,1,2,0.00047835684459281,133,1.5694668292999268,7.797514484642489e-05,0.9999335350417762,0.9973883803825143,0.0009520905561832533
23,p,15,second,1,3,0.0008700604340886054,133,1.8368639945983887,1.0027518440703397e-05,0.9999960860856334,0.9991178872640604,0.00016285568751953696
24,p,15,second,1,1,0.009129617951008246,161,2.2835919857025146,0.005598858204630212,0.9976989049300529,0.917952989852222,0.00704901794540622
25,p,15,second,1,2,0.0013250598495953005,161,1.4954590797424316,0.0007377783843689367,0.9997355384441045,0.9988207608506456,0.0007049551533059181
26,p,15,second,1,3,1.4782067912922781e-05,161,1.6786742210388184,9.46308751048724e-05,0.9999919830646631,0.9996722183405847,9.50632860028753e-05
27,p,15,second,1,1,0.005634038872873608,291,1.7931950092315674,0.0011455088594555724,0.9997015088207699,0.9986880259799799,0.0006659884699997376
28,p,15,second,1,2,0.08364644132832494,291,2.039255142211914,0.004409961979062638,0.9970847094833293,0.9808666146923214,0.0013100197113339368
29,p,15,second,1,3,0.0004636157976003536,291,2.4926159381866455,0.002257866978186476,0.9990130647053364,0.9833203593307644,0.003284595269349676
30,p,15,second,3,1,4.2423296462482805,564,5.2092320919036865,1.1460864458866844,0.25702787540504296,0.26976317223991325,0.21177544995400338
31,p,15,second,3,2,3.2765101110967225e-06,564,4.639787197113037,9.220286888517096e-05,0.9999251418791019,0.9993830944079016,0.0001457095258660579
32,p,15,second,3,3,3.6679602717629406e-06,564,3.4712111949920654,0.00023015738881597902,0.9998411116639737,0.9989987175286604,0.00041244696135139044
33,p,15,second,3,1,0.3090291091984013,617,1.8724701404571533,0.8499124517057366,0.7705652530485041,0.7418003636540265,0.12188715066939693
34,p,15,second,3,2,0.45950103855073976,617,4.841425895690918,0.917623719308303,0.7436807626144559,0.21186186388183254,0.23218323237096783
35,p,15,second,3,3,0.0014320329235746093,617,3.5092129707336426,0.003645646725568737,0.9985326062416525,0.9865287206708209,0.0021364475603139633
36,p,15,second,3,1,10.593797574676028,236,1.2091619968414307,0.06648375527221596,0.967172345188676,0.6018379500691418,0.17146510719450367
37,p,15,second,3,2,0.0018009571664004233,236,1.6277539730072021,0.00036167144455309923,0.9998329054379155,0.9947612287565132,0.0006040965840778984
38,p,15,second,3,3,0.03693858245626761,236,3.3504562377929688,0.01625099741658517,0.994646062805976,0.22654778903555967,0.15877641476552176
