,trial,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse
0,8,p,20,second,1,1,36.28592011525219,82,1.4322178363800049,0.0007107092341573917,0.9948674701436766,0.5238598097971351,0.16296401866010152
1,8,p,20,second,1,2,0.3160258572013319,82,2.1800081729888916,5.0475246182105075e-08,0.9999995492929001,0.7312570512127702,0.01985771329456416
2,8,p,20,second,1,3,0.9708106097270639,82,2.096179962158203,1.1211080849889844e-10,0.9999999990023652,-0.036569920263788636,0.01004950013351751
3,89,p,20,second,1,1,0.25182764825846343,306,5.1950600147247314,7.175209364982762e-06,0.9999861423051082,0.9433309378678367,0.008425237311577516
4,89,p,20,second,1,2,15.769102771704405,306,6.805775165557861,0.01966601401115788,0.979459804961729,-0.1460599459759399,0.20654253873440745
5,89,p,20,second,1,3,0.007884240931003364,306,9.539464950561523,5.029745295042362e-06,0.9999944470432431,0.994029226673857,0.0006085136048722785
6,153,p,20,second,1,1,521.330934769327,64,1.9633207321166992,0.008661764408958064,0.8498062767781471,-0.7912588796760194,0.26098188396157945
7,153,p,20,second,1,2,1.1208702511449822,64,2.7161900997161865,2.5660411106166645e-09,0.9999999843394894,0.6901770037301308,0.011013324529610222
8,153,p,20,second,1,3,4.800987681107262,64,2.826449155807495,5.009030968291613e-09,0.9999997751610007,-0.7563168383153923,0.11827548424726246
9,273,p,20,second,1,1,0.46244723367544927,113,4.024027109146118,3.1525590517743213e-08,0.9999999623391936,0.9596493118829806,0.002781416574923741
10,273,p,20,second,1,2,0.018493286208625656,113,3.1328351497650146,2.4762857089449845e-07,0.9999998017537022,0.9420664634996723,0.0011863746364528794
11,273,p,20,second,1,3,1.4743171022978672,113,2.993830919265747,4.342280827071292e-08,0.9999998219996074,0.42177075988765594,0.05359857371348369
12,291,p,20,second,1,1,0.6791906940901035,100,1.919769048690796,0.02243281809861487,0.9062800349307014,-0.5208756604240712,0.059935075492452805
13,291,p,20,second,1,2,8.97243686726287,100,6.87210488319397,0.04951745420096764,0.9134239902775805,0.5859728384853358,0.16011297300106403
14,291,p,20,second,1,3,12.131304224795917,100,2.7068397998809814,0.009572497555552166,0.9840188075695463,-0.7411128040392183,0.37670943469187546
15,47,p,20,second,3,1,3.073196724964543,99,2.385842800140381,0.08981529555846775,0.8956017825656359,0.620901431396942,0.15270732015033048
16,47,p,20,second,3,2,0.8182465153385542,99,3.190540075302124,2.9323556202613874e-07,0.9999996448715451,0.9686261525764255,0.008477468965797737
17,47,p,20,second,3,3,9.640203143128174,99,1.2914550304412842,0.08582401443997681,0.7383482026623455,-0.6819560938552856,0.3733218274883906
18,97,p,20,second,3,1,2.7359497444968435,64,1.6503551006317139,0.007327737102278464,0.9526775432277671,-0.16877549606510858,0.31020708394392066
19,97,p,20,second,3,2,48.39372863042462,64,4.60589599609375,3.492356968331537e-08,0.9999998987236108,0.44653481266152123,0.022639495316082423
20,97,p,20,second,3,3,3.075086896417293,64,1.1289329528808594,0.002648518873607549,0.968369812452613,0.2612164019838044,0.20709406197840352
21,140,p,20,second,3,1,6.85766180466166,173,1.2927091121673584,0.08693301802309959,0.7680706033159481,0.31868613149340286,0.20198846625522338
22,140,p,20,second,3,2,0.06454694994388806,173,5.433053731918335,4.8284830060506536e-05,0.9999605700808566,0.9565756208245713,0.003353176703967504
23,140,p,20,second,3,3,0.09093947688396849,173,4.008066892623901,1.1316161347187675e-05,0.9999836274224395,0.8271878527321496,0.004776046860531686
24,242,p,20,second,3,1,0.591228429100356,186,4.829045057296753,0.2625928309551651,0.5864717202881478,-0.2939122562967215,0.34339992823670507
25,242,p,20,second,3,2,3.213132141707791,186,3.050842761993408,0.5858591769075191,0.3185271121165339,0.10317616673049076,0.19148908449570154
26,242,p,20,second,3,3,723.3597384121338,186,6.148370265960693,0.05280409052241698,0.921101464457774,-0.3013308673473211,0.267106328699782
27,281,p,20,second,3,1,23.339969393147037,164,1.4418120384216309,0.11390134059909439,-0.6071120459604322,-0.732595596577184,0.4672156026342062
28,281,p,20,second,3,2,0.12221535562141947,164,2.9330191612243652,4.615193504893843e-06,0.9999979339936761,0.9334513970497265,0.0028210827644525663
29,281,p,20,second,3,3,0.19178787322784252,164,6.400101900100708,2.4949612417796796e-06,0.9999914721396187,0.9720604732422223,0.0028963084383807985
30,38,p,20,second,8,1,2.0173811235614934,455,7.456861972808838,0.00013730110928688148,0.9998155754073081,0.8697179539882864,0.012089150310605963
31,38,p,20,second,8,2,0.01337822077934699,455,24.016685962677002,0.0003232812645089552,0.998985106273181,0.7670365939613851,0.03595578876542436
32,38,p,20,second,8,3,10.474599786918017,455,2.4191699028015137,0.5519964209905337,0.4135907672646692,-0.11786426448134114,0.279895444128338
33,60,p,20,second,8,1,18.492384571504957,145,3.6562962532043457,0.00015859688568863726,0.9988518505005467,0.5672224840757847,0.017927104604245094
34,60,p,20,second,8,2,2.258180309253485,145,1.3264048099517822,0.05142757451422377,0.8269599038493541,0.21646397693048267,0.21434462282103228
35,60,p,20,second,8,3,28.161237494445114,145,5.687137126922607,0.00032691035551887505,0.9996168604906875,0.37707805908674163,0.037600239237936275
36,132,p,20,second,8,1,0.23886183452292314,280,8.178536891937256,0.040590694804287446,0.7827330040715496,-0.1280423962325735,0.141253680264532
37,132,p,20,second,8,2,0.0863731482942694,280,4.75245213508606,0.0001739833813416734,0.9998894069517488,0.9134598403074918,0.005727544298844203
38,132,p,20,second,8,3,5.954477584297271,280,5.353743076324463,0.000584272175272057,0.9965878461988081,0.8250832323326924,0.02141381392852245
39,181,p,20,second,8,1,3.803348069179175,122,2.214430093765259,0.0008982737475527089,0.9959570612657026,0.653046988537612,0.08668458883799361
40,181,p,20,second,8,2,695.7673339849517,122,4.842185020446777,0.007939688970904345,0.9743223152366625,0.15790560786041385,0.2154906418719373
41,181,p,20,second,8,3,0.5059087657681991,122,2.540780782699585,0.00135865356607324,0.9892972799999536,0.3801186869373625,0.16846299653603133
42,242,p,20,second,8,1,41.13163213913834,186,2.1244099140167236,0.13089495244654709,0.6945274604838613,-0.07862446345874667,0.2539076441633338
43,242,p,20,second,8,2,7.083258896256877,186,6.306596994400024,0.0002554646447796572,0.9990321789827383,0.7024711775938709,0.028715702379310155
44,242,p,20,second,8,3,0.481267041100085,186,5.6464269161224365,0.001960330397650581,0.9931894218645612,0.934017152724098,0.007640128803066925
45,49,p,30,second,1,1,2.8887724548937603,52,3.466235876083374,0.014634258224713528,0.962313131155799,-0.5614362211502231,0.39334833534303354
46,49,p,30,second,1,2,3.5609652569311683,52,3.2495319843292236,4.658893158355268e-10,0.9999999993147595,0.40213543686265896,0.05179763204765068
47,49,p,30,second,1,3,7.686033687851681,52,3.9372479915618896,0.0006249571421543846,0.9975495876987387,0.4445509525286006,0.044693700582213065
48,53,p,30,second,1,1,0.00857148328572494,98,2.662006139755249,1.475287138017513e-09,0.999999977932074,0.992091537820668,0.00044383456005800897
49,53,p,30,second,1,2,3.621776958046885,98,3.3856399059295654,8.95994567370821e-10,0.9999999691880125,0.7140503324810964,0.017162023026853743
50,53,p,30,second,1,3,0.564910441737749,98,1.7904119491577148,0.13320357442777175,-0.3546648408381535,-0.33522101398530507,0.3417970587780494
51,108,p,30,second,1,1,0.01677397464975604,435,8.608559846878052,3.061457252639974e-05,0.9999678945670756,0.9512552157672992,0.0017924862684343356
52,108,p,30,second,1,2,0.13092731900474155,435,18.73935580253601,7.636237305289838e-07,0.9999968720229818,0.9910992708924706,0.002485222215806707
53,108,p,30,second,1,3,0.8775394252120335,435,13.466035842895508,4.989758687598176e-06,0.9999939319920933,0.8498153592675028,0.029579811022216435
54,157,p,30,second,1,1,0.3698646065078195,321,5.753380060195923,0.058346379897675466,0.9660460947492412,0.7253532278123772,0.04818520448229728
55,157,p,30,second,1,2,0.4148006386258622,321,9.84414792060852,2.093074424446164e-06,0.9999671393610694,0.18812434957451532,0.019123069779770196
56,157,p,30,second,1,3,2.567683857449845,321,4.179466962814331,3.3700216416370745e-05,0.9999414374609982,0.9422378347465051,0.01133796045135155
57,283,p,30,second,1,1,0.021725156627081185,263,5.6520771980285645,7.907798946270803e-07,0.9999978317732179,0.9980029231433165,0.0003103908721990114
58,283,p,30,second,1,2,3.354091591731165,263,1.8664560317993164,0.9732949278685876,-0.7601298511944797,-0.9333415175093026,0.24603689603341597
59,283,p,30,second,1,3,0.13628197103788775,263,11.275060176849365,5.101491328238668e-09,0.9999999649202859,0.22087878719544404,0.017297073758522425
60,31,p,30,second,3,1,0.5023737092105209,95,6.172765016555786,4.952400770621284e-08,0.999999844753439,0.7010814250641701,0.03264913522071857
