,trial,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse,posmse_p,poscorr_p,wtcorr_p,wtmse_p,wtcorr_pv,poscorr_pv,wtcorr_pf,poscorr_pf,wtcorr_pvi,poscorr_pvi,wtcorr_pif,poscorr_pif,wtcorr_pvf,poscorr_pvf,wtcorr_pvif,poscorr_pvif,posmse_pv,wtmse_pv,posmse_pf,wtmse_pf,posmse_pvi,wtmse_pvi,posmse_pif,wtmse_pif,posmse_pvf,wtmse_pvf,posmse_pvif,wtmse_pvif
0,110,p,20,second,1,1,0.00020001236213971083,102,2.0628139972686768,,,,,3.6496364902005955e-05,0.9999825037849422,0.9862494795358238,0.0013156106653857903,0.9863537697477899,0.999955355109092,0.9863924831810549,0.9999799691920136,0.9664960314493705,0.9999755764631044,0.9860300234672201,0.9999858554482964,0.9864100497074322,0.9999668722931059,0.9748785212835466,0.9999760000713392,,,,,,,,,,,,
1,110,p,20,second,1,2,0.058252885370258516,102,0.9097428321838379,,,,,0.14509391002853642,0.9169570178006341,0.011742930817346559,0.30932311314690364,0.9900710229544115,0.9998635627834963,0.9909189715538838,0.9998974356335101,0.9513975629032327,0.99999955354425,0.011742930812714368,0.9294531243245,0.9907049655880953,0.9998665029765342,-0.0254200432138957,0.9961667766650311,,,,,,,,,,,,
2,165,p,20,second,1,1,0.9586369321392179,75,1.0417749881744385,,,,,0.06808572761395743,0.7865390504887715,0.3149708652700405,0.24913275153838005,0.997376883697327,0.9999462954223032,0.9932000566764375,0.999953122367036,0.9933506268974259,0.9999833473855148,0.9926958508021032,0.9999647146237451,0.9932978613036165,0.9999350586989458,0.9928880501952505,0.9999835380260207,,,,,,,,,,,,
3,165,p,20,second,1,2,0.0061660309912717325,75,1.3412938117980957,,,,,4.4577483269187394e-05,0.9999027950308075,0.9911902184353187,0.001809834455273413,0.4743760536181558,0.9803733744843346,0.991200002762213,0.9999029772872142,0.921267456103468,0.9999993174180447,0.9990132357190896,0.9999979540205485,0.47437603541400625,0.9813221736305625,0.4743760354128253,0.9823579943834063,,,,,,,,,,,,
4,174,p,20,second,1,1,10.404624562451952,281,3.9324610233306885,,,,,2.788484515359228,-0.05109303305539229,-0.6024178149429678,0.5197733555109658,-0.731992779808105,0.7739735313831709,0.7319927798082336,0.9733272550139574,0.9886467729413715,0.999903845078054,0.9949722754850945,0.9997410388420089,0.9898184934274681,0.9992702743701871,0.9860357006463406,0.9998806421916876,,,,,,,,,,,,
5,174,p,20,second,1,2,116.42416500765842,281,3.799046754837036,,,,,0.016345722602370227,0.991868997801326,-0.3784919404703638,0.2558532488499125,0.9472863456062715,0.9999045971809202,0.9765579800194933,0.999871250275164,0.9761876309977462,0.9998819128852804,0.36786887458371287,0.9388331575238933,-0.3805948971491667,0.9929043072767905,0.9763132327021194,0.999878790349157,,,,,,,,,,,,
6,219,p,20,second,1,1,745.5138752884912,295,2.408787965774536,,,,,0.4314654835780509,0.8632760491705092,0.19459362247369305,0.2990570641409763,0.996667365493594,0.9994745535301888,0.9977636742564265,0.9993725123574587,0.9987658210387008,0.9999740411697401,0.9988228390749256,0.9999330530248405,0.9955505237938028,0.9989537865179018,0.9988128976053889,0.9999767369593149,,,,,,,,,,,,
7,219,p,20,second,1,2,0.06972004062191037,295,4.465046167373657,,,,,0.0040645940412717945,0.9978236844492884,0.984220860971906,0.0009739174299497944,-0.4812185642334072,0.8434973676000713,0.9842652530924529,0.9978442485517126,0.925883806511372,0.9956134575780301,0.9992173783978118,0.9999790909919086,0.9212482147271632,0.9954426252701042,0.922481565195392,0.9956062770192267,,,,,,,,,,,,
8,266,p,20,second,1,1,0.9639000449446854,260,1.142470359802246,,,,,0.7035549761324533,-0.07169906262892843,-0.872079503477307,0.5206210898218004,0.8720794872634247,0.9703575432026953,0.8674464496712117,0.9659574910694522,0.8912225259328223,0.9678793487917843,0.8672562255582996,0.9496777199870736,0.8676027451592879,0.9663283512203826,0.8913255421106211,0.9673176722236818,,,,,,,,,,,,
9,266,p,20,second,1,2,0.004854696729298199,260,2.7983880043029785,,,,,0.0014840228249454954,0.9998030884721052,0.991579071608927,0.0015085445965174367,0.9931215603660345,0.9998561480135094,0.9916030630875751,0.9998037118717129,0.9887819091006658,0.9997201951667429,0.9889320651911694,0.9996689403776876,0.9931178086797865,0.9998563832991016,0.9713755670111657,0.9970573739954446,,,,,,,,,,,,
